종류,상품명,상품설명,이자율,url
적금,우리 SUPER주거래 자유적금,주거래고객님께 더 높은 우대금리를!,2.6,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010000110&PRD_CD=P010000110&ALL_GB=&depKind=A04
적금,첫급여 우리적금,복잡한 우대금리조건 NO! Only 급여 이체!,2.6,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002408&PRD_CD=P010002408&ALL_GB=&depKind=A04
적금,우리 200일 적금,200일동안 즐겁게 저축하고 최대 연 2.6%의 금리까지 받을 수 있는 핵꿀 적금!,2.6,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002405&PRD_CD=P010002405&ALL_GB=&depKind=A04
적금,우리 으쓱(ESG) 적금,대중교통 이용 및 환경보호 실천운동 달성 시 우대혜택,2.35,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002448&PRD_CD=P010002448&ALL_GB=&depKind=A04
적금,시니어플러스 우리적금(즉시연금형),안정적인 노후자금 마련을 위한 적금,2.2,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002345&PRD_CD=P010002345&ALL_GB=&depKind=A04
적금,시니어플러스 우리적금(증여우대형),손자녀 증여자금 마련을 지원하는 적금,2.2,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002347&PRD_CD=P010002347&ALL_GB=&depKind=A04
적금,우리 프렌즈 정기적금,청소년의 미래 학자금 마련을 위한 상품,2.1,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010000059&PRD_CD=P010000059&ALL_GB=&depKind=A04
적금,우리사랑 정기적금,우리은행 대표 정기적립식 상품으로 높은 기본금리와 우대혜택으로 금리경쟁력 높은 상품,2.0,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010000225&PRD_CD=P010000225&ALL_GB=&depKind=A04
적금,우리웰리치100적금,은퇴자금 마련을 위한 적금,1.95,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010000164&PRD_CD=P010000164&ALL_GB=&depKind=A04
적금,우리 여행드림 적금,가입 후 3개월 안에 50만원 이상 모으면 국내여행 혜택제공!,1.95,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010002444&PRD_CD=P010002444&ALL_GB=&depKind=A04
적금,우리 프렌즈 자유적금,청소년의 미래 학자금 마련을 위한 상품,1.9,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010000056&PRD_CD=P010000056&ALL_GB=&depKind=A04
적금,우리아이행복 적금,우리아이 목돈마련을 위한 자유적금!,1.75,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010000133&PRD_CD=P010000133&ALL_GB=&depKind=A04
적금,우리자유적금,가입기간동안 수시로 적립 가능한 상품,1.65,https://spot.wooribank.com/pot/Dream?withyou=PODEP0021&cc=c007095:c009166;c012263:c012399&PLM_PDCD=P010000301&PRD_CD=P010000301&ALL_GB=&depKind=A04
