제목,날짜
 ESG 우수기업 금융지원 강화‘ESG경영 박차’,2021.05.01
 EBS미디어와 금융 · 교육 콘텐츠 융합 업무협약 체결,2021.04.30
‘무공해 친환경 전기차’도입 확대,2021.04.28
 금융데이터거래소 ‘2021 금융 데이터 엑스포’ 참가,2021.04.27
"은행, 박닌지점 신설로‘현지 영업 박차’",2021.04.27
 AI활용 디지털금융 경쟁력 강화‘박차’,2021.04.22
‘우리 Wealth LIVE’개최,2021.04.22
 최고 연 7.0%‘우리 Magic 적금 by 롯데카드’출시,2021.04.20
 WON뱅킹 메인화면‘고객 중심’개편,2021.04.20
 AI뱅커(인공지능 은행원) 개발 나선다!,2021.04.17
 저축 노하우 댓글 작성‘고객참여’이벤트 실시,2021.04.16
"리은행,‘외국계 은행 최초’차세대 금융결제망 공동 구축",2021.04.14
 네이버와 디지털 혁신사업 추진 업무협약 체결,2021.04.12
 금융권 최초 비대면 자녀계좌 조회서비스 출시,2021.04.09
딜 혁신성장 금융지원 업무협약 체결,2021.04.08
 본점 글판‘고객참여’공모전 실시,2021.04.08
 ‘ IRP(개인형 퇴직연금) 바람이 분다 ’ 이벤트 실시,2021.04.07
 펀드 첫 가입고객 대상‘만원 드림’이벤트 실시,2021.04.07
기반 골목상권 지원 모델 발굴 업무협약 체결,2021.04.01
 전국 4곳에‘소상공인 종합지원센터’추가 개소,2021.03.31
‘봄맞이 청약저축 가입 이벤트’실시,2021.03.30
"리은행장, 연임 후 첫 행보로 현장경영 나서",2021.03.27
‘프로젝트 블루아워’의 첫걸음‘온(On)택트 해커톤’개최,2021.03.26
환전주머니’서비스 출시,2021.03.25
‘인공지능(AI) 상담 통합 플랫폼’구축,2021.03.20
 라임펀드 분쟁조정안 수용...“신속히 배상금 지급”,2021.03.16
 2021년 상반기 신입행원 특별 수시채용 실시,2021.03.16
 ㈜포스코건설과 ESG 금융협력 강화,2021.03.16
 ‘우리Oh!(5)클릭대출’ 비대면 대출상품 출시,2021.03.12
 금융소비자보호를 위한 전직원 역량 강화 나서,2021.03.10
 개인신용대출 신규 신청고객 서류제출 간소화 시행,2021.03.08
 임직원 참여 ‘우리 가족 걸음 기부 캠페인’ 실시,2021.03.08
 네이버파이낸셜과 소상공인 포용적 금융지원 업무협약 체결,2021.03.02
"은행 ‘BUKU3’등급 취득, 중대형은행으로 도약",2021.02.16
 한국투자공사와 해외투자 협력 강화 ‘맞손’,2021.02.15
" ‘실손보험 빠른청구 서비스’출시 2주만에 1,200건 돌파",2021.02.15
 ‘설 맞이 청약저축 가입’이벤트 실시,2021.02.15
 오픈뱅킹 가입 대고객 경품 이벤트 실시,2021.02.15
 최고 연 6.0%‘우리 Magic 적금 by 우리카드’출시,2021.02.04
"KT, AI 불완전판매 방지 프로세스 개발을 위한 업무협약 체결",2021.02.01
 외화 ESG채권 5억 5천만불 발행 성공,2021.02.01
 한국투자증권과 ‘온라인 공동 세미나’ 개최,2021.02.01
 WON뱅킹 ‘실손보험 빠른청구 서비스’ 출시,2021.02.01
 2021년 상반기 경영전략회의 개최,2021.01.29
 디지털 광고제 ‘2020 앤어워드’ 그랑프리 수상,2021.01.25
 리그 오브 레전드 챔피언스 코리아(LCK) 파트너 계약 체결,2021.01.21
 ‘우리 VIP고객님의 귀한 첫 발걸음’ 이벤트 실시,2021.01.18
 ‘빅데이터 활용 고객행동 기반 개인화 마케팅’ 실시,2021.01.11
 ‘2021년 직장인 우리같이 시작해’ 이벤트 실시,2021.01.07
 사회초년생 고객을 위한‘첫급여 우리 패키지' 출시,2021.01.06
 고객중심 혁신 영업채널 VG(Value Group)제도 시행,2021.01.05
 한국투자증권과 융복합 금융서비스 업무협약 체결,2020.12.24
 새만금 육상태양광 1구역 발전사업 금융주선 성공,2020.12.23
 인공지능(AI) 기반 시장예측시스템 구축 추진,2020.12.19
 비대면 종교활동 지원을 위한‘온라인헌금서비스’출시,2020.12.18
 롯데멤버스와 디지털 금융혁신 업무협약 체결,2020.12.17
 기업고객을 위한‘우리WON뱅킹 기업’출시,2020.12.16
 WON뱅킹 크리스마스 경품 이벤트 실시,2020.12.15
 은행권 최초 본인인증기반 디지털 우편발송 서비스 시행,2020.12.15
 한국과학기술연구원(KIST)‘주거래은행’으로 선정,2020.12.12
 쏘카와 공유 플랫폼 및 공급망금융 업무협약 체결,2020.12.11
 지역아동센터 장학생 ‘꿈나무 장학금’ 전달,2020.12.10
" 우리WON뱅킹에서 ‘경매, 공매 정보’혜택도 누린다",2020.12.08
 ‘대기업-중소기업 유통대리점 상생전자지급보증’ 상품 출시,2020.12.08
