종류,상품명,상품설명,이자율,url
예금,디딤씨앗 적립예금,최장 18년까지 매 5년 단위로 이자율이 변동되는 아동발달지원계좌,2.3,https://bank.shinhan.com/index.jsp#020105020000
예금,아름다운 용기 정기예금,"사전홍보 및 친환경 실천 공감대 형성, 고령자를 우대하는 ESG 상품",1.8,https://bank.shinhan.com/index.jsp#020105020000
예금,쏠편한 정기예금,만기일 연장서비스를 통해 여유롭게 관리할 수 있는 정기예금,1.75,https://bank.shinhan.com/index.jsp#020105020000
예금,미래설계 장기플랜 연금예금,금리주기 변경일 마다 금리가 변동하는 장기 즉시연금,1.6,https://bank.shinhan.com/index.jsp#020105020000
예금,미래설계 크레바스 연금예금,5년 이내의 단기연금예금,1.6,https://bank.shinhan.com/index.jsp#020105020000
예금,S드림 정기예금,고객의 자금운용계획에 맞추어 운용할 수 있는 맞춤형정기예금,1.3,https://bank.shinhan.com/index.jsp#020105020000
예금,정기예금,계약 시 저축기간과 확정금리를 미리 정하여 일정금액을 예치하는 장기 예금,1.2,https://bank.shinhan.com/index.jsp#020105020000
