종류,상품명,상품설명,이자율,url
예금,하나의 정기예금,자유롭게 자금관리가 가능한 하나원큐(스마트폰 뱅킹) 전용 정기예금,1.95,https://www.kebhana.com/cont/mall/mall08/mall0801/mall080101/1479088_115126.jsp
예금,행복knowhow 연금예금,"노후자금, 생활자금, 재투자자금까지! 행복knowhow 연금예금으로 설계하세요!",1.6,https://www.kebhana.com/cont/mall/mall08/mall0801/mall080101/1419664_115126.jsp
예금,고단위 플러스(금리확정형),이자 지급 방법도 내 맘대로! 이자 지급 시기도 내 맘대로!,1.5,https://www.kebhana.com/cont/mall/mall08/mall0801/mall080101/1419600_115126.jsp
예금,3·6·9 정기예금,"3개월마다, 기쁜 날마다, 고금리의 즐거움을 드립니다.",1.45,https://www.kebhana.com/cont/mall/mall08/mall0801/mall080101/1419598_115126.jsp
예금,정기예금,목돈을 일정기간 동안 예치하여 안정적인 수익을 추구하는 예금,1.45,https://www.kebhana.com/cont/mall/mall08/mall0801/mall080101/1419602_115126.jsp
예금,하나 원큐 정기예금,간편하게 우대금리를 제공하는 스마트폰 예금,1.35,https://www.kebhana.com/cont/mall/mall08/mall0801/mall080101/1465828_115126.jsp
예금,고단위 플러스(금리연동형),이자 지급 방법도 내 맘대로! 이자 지급 시기도 내 맘대로!,1.2,https://www.kebhana.com/cont/mall/mall08/mall0801/mall080101/1419601_115126.jsp
